epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,158.274,0.42661,0.51257,0.28044,0.78661,1,0.99076,0.995,0.93571,0.99563,0.98651,0.99361,0.77543,0.37615,0.59376,0.26487,0.78821,0.00121727,0.00121727,0.00121727
61,160.696,0.43019,0.5514,0.28251,0.7894,0.99409,0.99134,0.99496,0.93342,0.99409,0.99134,0.99496,0.78423,0.37569,0.57984,0.26432,0.78925,0.001204,0.001204,0.001204
62,163.083,0.42846,0.51879,0.28073,0.7884,0.99508,0.99567,0.99487,0.92944,0.99076,0.99134,0.99403,0.76787,0.39628,0.60591,0.26349,0.79047,0.00119073,0.00119073,0.00119073
63,165.647,0.43033,0.5229,0.28363,0.78717,0.99488,0.99567,0.99496,0.93597,0.99056,0.99134,0.99359,0.77502,0.3787,0.55622,0.25504,0.78911,0.00117747,0.00117747,0.00117747
64,168.435,0.43272,0.50159,0.27727,0.78717,0.99939,0.98701,0.99496,0.93308,0.99501,0.98268,0.99382,0.76863,0.38485,0.56914,0.25915,0.78974,0.0011642,0.0011642,0.0011642
65,170.876,0.43015,0.52409,0.28113,0.7904,0.9999,0.99134,0.995,0.93184,0.9999,0.99134,0.995,0.78002,0.39124,0.58175,0.25843,0.79037,0.00115093,0.00115093,0.00115093
66,173.308,0.44107,0.5372,0.28183,0.78969,0.99508,0.99134,0.99496,0.93284,0.99073,0.98701,0.99391,0.77262,0.38306,0.59727,0.25508,0.79131,0.00113767,0.00113767,0.00113767
67,175.631,0.44692,0.53435,0.28348,0.78817,0.99948,0.98701,0.99496,0.93119,0.99948,0.98701,0.99496,0.78822,0.38481,0.59368,0.25986,0.7902,0.0011244,0.0011244,0.0011244
68,178.113,0.42257,0.51587,0.27919,0.78551,0.99901,0.99134,0.995,0.93434,0.99465,0.98701,0.99369,0.75817,0.37653,0.63812,0.25538,0.7904,0.00111113,0.00111113,0.00111113
69,180.514,0.42403,0.49655,0.27873,0.7842,0.99861,0.99567,0.995,0.92777,0.99427,0.99134,0.99348,0.77584,0.38134,0.63044,0.25756,0.78853,0.00109787,0.00109787,0.00109787
