epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,179.291,0.55946,0.70112,0.39423,0.80283,0.98212,0.98268,0.99391,0.8813,0.98212,0.98268,0.99391,0.72894,0.4961,0.68626,0.3627,0.80547,0.00109787,0.00109787,0.00109787
70,181.722,0.5763,0.70037,0.3993,0.80943,0.97831,0.99134,0.99444,0.89228,0.97831,0.99134,0.99444,0.71796,0.47003,0.64495,0.35609,0.80352,0.0010846,0.0010846,0.0010846
71,184.08,0.54036,0.68738,0.38784,0.80743,0.98691,0.97949,0.99422,0.88493,0.98691,0.97949,0.99422,0.72766,0.48487,0.63784,0.37228,0.80184,0.00107133,0.00107133,0.00107133
72,186.423,0.54309,0.71571,0.38716,0.80505,0.98252,0.98701,0.99435,0.88308,0.97821,0.98268,0.99376,0.73572,0.46952,0.63004,0.36542,0.80483,0.00105807,0.00105807,0.00105807
73,188.797,0.54557,0.69547,0.38614,0.80374,0.98659,0.98701,0.99423,0.88305,0.98659,0.98701,0.99423,0.73142,0.47455,0.65876,0.3627,0.80222,0.0010448,0.0010448,0.0010448
74,191.092,0.55494,0.67711,0.38535,0.80676,0.99085,0.98701,0.99448,0.89862,0.98651,0.98268,0.99393,0.72379,0.44485,0.63242,0.34341,0.79972,0.00103153,0.00103153,0.00103153
75,193.594,0.55501,0.68028,0.39048,0.80397,0.99134,0.99101,0.99452,0.90067,0.99134,0.99101,0.99452,0.7348,0.4541,0.64667,0.34145,0.79751,0.00101827,0.00101827,0.00101827
76,196.07,0.53854,0.66838,0.3786,0.80621,0.98707,0.99106,0.99443,0.90343,0.98275,0.98674,0.99386,0.72863,0.43129,0.62548,0.34055,0.7974,0.001005,0.001005,0.001005
77,198.583,0.54323,0.67726,0.38022,0.79812,0.9786,0.98986,0.99344,0.90495,0.97432,0.98553,0.99158,0.72252,0.44641,0.71045,0.348,0.79881,0.000991733,0.000991733,0.000991733
78,200.945,0.5316,0.67385,0.38361,0.80199,0.97861,0.99024,0.99372,0.8913,0.97433,0.98595,0.99321,0.71601,0.4823,0.68039,0.34817,0.80328,0.000978467,0.000978467,0.000978467
79,203.34,0.56501,0.71507,0.3809,0.80415,0.98613,0.99134,0.99429,0.88921,0.98613,0.99134,0.99429,0.72283,0.46762,0.67039,0.34814,0.79747,0.0009652,0.0009652,0.0009652
80,205.697,0.55816,0.69134,0.37668,0.80283,0.98192,0.99134,0.9937,0.89178,0.98192,0.99134,0.9937,0.7227,0.46945,0.65654,0.34971,0.80133,0.000951933,0.000951933,0.000951933
81,208.218,0.5342,0.69581,0.37712,0.80325,0.98732,0.98701,0.99421,0.90088,0.98732,0.98701,0.99421,0.73867,0.45,0.61458,0.34503,0.7995,0.000938667,0.000938667,0.000938667
82,210.627,0.53493,0.68102,0.37446,0.79788,0.98596,0.99134,0.99478,0.89346,0.98165,0.98701,0.99423,0.73928,0.47302,0.66179,0.34595,0.80135,0.0009254,0.0009254,0.0009254
83,213.051,0.52554,0.67285,0.37471,0.80325,0.98706,0.99083,0.99478,0.90598,0.98706,0.99083,0.99478,0.72343,0.4396,0.64334,0.33216,0.7979,0.000912133,0.000912133,0.000912133
84,215.513,0.52286,0.67993,0.35857,0.80046,0.98948,0.98268,0.99444,0.90495,0.98948,0.98268,0.99444,0.72959,0.43899,0.64829,0.33093,0.79702,0.000898867,0.000898867,0.000898867
85,218.023,0.51631,0.65406,0.36319,0.79732,0.97799,0.98268,0.99406,0.90508,0.98267,0.98175,0.99428,0.72157,0.45285,0.73813,0.33581,0.79953,0.0008856,0.0008856,0.0008856
86,220.536,0.52692,0.67317,0.36715,0.80408,0.9812,0.98268,0.99416,0.90712,0.9812,0.98268,0.99416,0.73207,0.42819,0.63516,0.32476,0.7968,0.000872333,0.000872333,0.000872333
87,223.114,0.52325,0.65486,0.3604,0.7964,1,0.98005,0.99462,0.89982,1,0.98005,0.99462,0.71875,0.44846,0.64511,0.32988,0.79748,0.000859067,0.000859067,0.000859067
88,225.889,0.5161,0.64273,0.36177,0.79895,0.99914,0.98268,0.99479,0.90978,0.99914,0.98268,0.99479,0.73487,0.4164,0.61974,0.3234,0.79559,0.0008458,0.0008458,0.0008458
89,228.445,0.49575,0.66521,0.35775,0.79233,0.99563,0.98594,0.99462,0.90288,0.99126,0.98161,0.99356,0.73964,0.44353,0.62587,0.32824,0.80015,0.000832533,0.000832533,0.000832533
90,230.846,0.53151,0.66538,0.36577,0.80053,0.99162,0.97835,0.99457,0.90068,0.99162,0.97835,0.99457,0.73153,0.4577,0.63663,0.33432,0.80229,0.000819267,0.000819267,0.000819267
91,233.428,0.53561,0.66638,0.3722,0.79921,0.99561,0.98158,0.9947,0.89384,0.99561,0.98158,0.99457,0.72441,0.45308,0.66948,0.33519,0.79916,0.000806,0.000806,0.000806
92,235.988,0.51781,0.66279,0.35731,0.80052,0.98928,0.99134,0.99478,0.90535,0.98928,0.99134,0.99478,0.72808,0.42705,0.63522,0.32318,0.79691,0.000792733,0.000792733,0.000792733
93,238.508,0.52452,0.64463,0.36055,0.79958,0.99132,0.98913,0.9947,0.90671,0.98698,0.9848,0.99418,0.72073,0.44208,0.66437,0.33227,0.79881,0.000779467,0.000779467,0.000779467
94,240.974,0.52321,0.6588,0.36237,0.79992,0.98708,0.99219,0.99491,0.89882,0.98708,0.99219,0.99491,0.74548,0.44741,0.64398,0.34026,0.79856,0.0007662,0.0007662,0.0007662
95,243.526,0.51544,0.63559,0.3621,0.79529,0.99441,0.98701,0.99483,0.90258,0.99441,0.98701,0.99483,0.74509,0.44072,0.63906,0.32336,0.79621,0.000752933,0.000752933,0.000752933
96,245.966,0.53267,0.6548,0.36157,0.7999,0.98605,0.98701,0.99439,0.90377,0.98605,0.98701,0.99439,0.73876,0.43977,0.62405,0.32516,0.79742,0.000739667,0.000739667,0.000739667
97,248.25,0.50204,0.64572,0.35272,0.79792,0.97382,1,0.99422,0.90469,0.97382,1,0.99422,0.7307,0.45142,0.66262,0.32847,0.79696,0.0007264,0.0007264,0.0007264
98,250.58,0.50482,0.65941,0.35114,0.80069,0.99133,0.99013,0.99461,0.9077,0.987,0.98581,0.99413,0.7221,0.43299,0.66103,0.31919,0.79684,0.000713133,0.000713133,0.000713133
99,253.012,0.51138,0.65389,0.35447,0.79547,0.99134,0.99063,0.99469,0.90806,0.987,0.9863,0.99439,0.73461,0.43963,0.67377,0.31685,0.79488,0.000699867,0.000699867,0.000699867
100,255.342,0.50174,0.62349,0.34062,0.78778,0.98708,0.9922,0.99487,0.91082,0.98277,0.98787,0.99448,0.74377,0.42626,0.619,0.31466,0.79417,0.0006866,0.0006866,0.0006866
101,257.877,0.49297,0.63783,0.34921,0.79305,0.9964,0.98268,0.99487,0.89928,0.9964,0.98268,0.99487,0.74499,0.46087,0.71269,0.31706,0.79549,0.000673333,0.000673333,0.000673333
102,260.691,0.51508,0.64508,0.348,0.79646,0.97056,0.99903,0.99466,0.90061,0.97056,0.99903,0.99466,0.72735,0.42056,0.65151,0.31416,0.79447,0.000660067,0.000660067,0.000660067
103,263.446,0.50172,0.63518,0.34824,0.7917,0.98806,0.98268,0.99366,0.9082,0.98806,0.98268,0.99366,0.71066,0.4273,0.66605,0.31807,0.79572,0.0006468,0.0006468,0.0006468
104,265.919,0.49988,0.65339,0.34753,0.79954,0.98146,0.98701,0.99448,0.9094,0.98146,0.98701,0.99448,0.74408,0.42611,0.64189,0.31402,0.79415,0.000633533,0.000633533,0.000633533
105,268.387,0.49014,0.63069,0.34377,0.79316,0.98701,0.98663,0.99452,0.91669,0.98701,0.98663,0.99452,0.73579,0.40871,0.66402,0.31078,0.79348,0.000620267,0.000620267,0.000620267
106,270.999,0.4942,0.6262,0.34233,0.79687,0.99137,0.99423,0.99465,0.91634,0.99137,0.99423,0.99465,0.74614,0.41306,0.65177,0.30785,0.79444,0.000607,0.000607,0.000607
